"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Jaipur&cityId=28&templateId=MAKAAN_CITY_LISTING_BUY","properties in Jaipur :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/jaipur/builder-project-in-pratap-nagar-12398053/3bhk-2t-1550-sqft-apartment","1550 sq ft 3 BHK 2T South facing Apartment for sale at Rs 44.00 lacs in Project in Pratap Nagar, Jaipur","44LEMI","Posted 3 days ago","3 BHK Apartment - 1,550 sq ft
Pratap Nagar, Jaipur","Carpet area
1450 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 2,838/ sq ft ","Power Backup
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/jaipur/builder-project-in-mansarovar-12232078/2bhk-2t-1150-sqft-apartment","1150 sq ft 2 BHK 2T West facing Apartment for sale at Rs 22.00 lacs in Project in Mansarovar, Jaipur","22LEMI","Posted a month ago","2 BHK Apartment - 1,150 sq ft
Mansarovar, Jaipur","Carpet area
1000 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 1,913/ sq ft ","Sports Facility
Club House
Children's play area
Power Backup
Lift Available
24 X 7 Security
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/jaipur/builder-project-in-kalwar-11458271/2bhk-2t-1100-sqft-apartment","1100 sq ft 2 BHK 2T Apartment for sale at Rs 35.00 lacs in Project in Kalwar, Jaipur","35LEMI","Posted 5 months ago","2 BHK Apartment - 1,100 sq ft
Kalwar, Jaipur","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 3,181/ sq ft ","Power Backup
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/jaipur/builder-project-in-vaishali-nagar-11738101/2bhk-2t-540-sqft-apartment","540 sq ft 2 BHK 2T SouthEast facing Apartment for sale at Rs 38.00 lacs in Project in Vaishali Nagar, Jaipur","37.99LEMI","Posted 3 months ago","2 BHK Apartment - 540 sq ft
Vaishali Nagar, Jaipur","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 7,037/ sq ft ","Gymnasium
Children's play area
Power Backup
Lift Available
24 X 7 Security
Not Available
Club House
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/jaipur/chordias-g4-in-ajmer-road-8647308/3bhk-3t-1280-sqft-apartment","1280 sq ft 3 BHK 3T Apartment for sale at Rs 41.00 lacs in Chordias G4 in Ajmer Road, Jaipur","41LEMI","Posted a year ago","3 BHK Apartment - 1,280 sq ft
Chordias G4Ajmer Road, Jaipur","Status
Under Construction
Bathrooms
3
New/Resale
New"," 3,203/ sq ft ","Gymnasium
Lift Available
Rain Water Harvesting
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Power Backup
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/jaipur/builder-galaxy-plaza-in-vidhyadhar-nagar-11567138/3bhk-2t-1086-sqft-apartment","1086 sq ft 3 BHK 2T East facing Apartment for sale at Rs 31.56 lacs in Galaxy Plaza in Vidhyadhar Nagar, Jaipur","31.56LEMI","Posted 3 months ago","3 BHK Apartment - 1,086 sq ft
Galaxy PlazaVidhyadhar Nagar, Jaipur","Carpet area
866 sq ft
Status
Under Construction
Bathrooms
2
New/Resale
Resale"," 2,906/ sq ft ","Power Backup
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/jaipur/shri-ratnam-group-the-address-in-ajmer-road-9310602/2bhk-2t-948-sqft-apartment","948 sq ft 2 BHK 2T West facing Apartment for sale at Rs 23.50 lacs in Shri Ratnam The Address in Ajmer Road, Jaipur","23.5LEMI","Posted 10 months ago","2 BHK Apartment - 948 sq ft
Shri Ratnam The AddressAjmer Road, Jaipur","Status
Ready to move
Bathrooms
2
New/Resale
New"," 2,478/ sq ft ","Rain Water Harvesting
Car Parking
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Landscaped Gardens
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Power Backup
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/jaipur/shri-ratnam-group-the-address-in-ajmer-road-11937195/2bhk-2t-1001-sqft-apartment","1001 sq ft 2 BHK 2T Apartment for sale at Rs 26.69 lacs in Shri Ratnam The Address in Ajmer Road, Jaipur","26.68LEMI","Posted 2 months ago","2 BHK Apartment - 1,001 sq ft
Shri Ratnam The AddressAjmer Road, Jaipur","Status
Ready to move
Bathrooms
2
New/Resale
New"," 2,666/ sq ft ","Rain Water Harvesting
Car Parking
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Landscaped Gardens
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Power Backup
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/jaipur/kedia-homes-the-oxygen-in-vaishali-nagar-12156424/3bhk-1216-sqft-apartment","1216 sq ft 3 BHK Apartment for sale at Rs 47.00 lacs in Kedia The Oxygen in Vaishali Nagar, Jaipur","47LEMI","Posted a month ago","3 BHK Apartment - 1,216 sq ft
Kedia The OxygenVaishali Nagar, Jaipur","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 3,865/ sq ft ","Jogging Track
Indoor Games
Swimming Pool
Car Parking
Club House
24 X 7 Security
Gymnasium
Children's play area
Not Available
Sports Facility
Not Available
Power Backup
Not Available
Lift Available
Not Available
Landscaped Gardens
Not Available"
